"Timestamp","  Участвовал ли ты когда-либо в дебатах?  ","  Если участвовал — как долго?  ","  В каком формате участвовал?  ","  В каком ты классе?  ","Тебе нужно убедить одноклассника, что физические упражнения улучшают успеваемость. Какой аргумент наиболее убедителен?  ","Друг говорит: ""Социальные сети вредны, потому что мой брат стал хуже учиться после того, как завёл аккаунт."" Это:  ","Какой источник наиболее надёжен для исследования о влиянии сна на память?  "," Прочитай утверждение: ""Большинство успешных людей просыпаются в 5 утра, значит, ранний подъём ведёт к успеху."" Что здесь неверно?  ","Ты убеждён, что онлайн-обучение хуже очного. Тебе показывают исследование 10 000 студентов, где онлайн-группа показала результаты выше. Твоя реакция:  ","В споре тебе привели три сильных аргумента против твоей позиции. Что сделаешь?  ","Тебе нужно решить: стоит ли школе ввести форму. Какой первый шаг наиболее логичен?  ","Прочитай вывод: ""В нашей школе улучшилась успеваемость. В этом же году мы начали пить больше воды на уроках. Значит, вода улучшает оценки."" Этот вывод:  ","Тебе дали задачу: выяснить, почему ученики опаздывают на первый урок. Что сделаешь первым?  ","Я умею отличать факты от мнений в текстах и разговорах  ","Когда мне приводят сильный аргумент, я готов изменить свою точку зрения  ","Я могу объяснить свою позицию с конкретными доказательствами, а не только словами ""мне кажется""  "
"2026/04/28 10:00:49 PM GMT+5","Да, регулярно (более 5 раз)","Более года","Межшкольные / районные","9–10 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Невозможно оценить без дополнительной информации","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","5","5","5"
"2026/04/30 9:43:52 AM GMT+5","Никогда не участвовал","Не участвую в дебатах","Не участвую","9–10 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Слабый аргумент — один пример не доказывает общую закономерность","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","4","3","4"
"2026/04/30 9:58:29 AM GMT+5","Да, регулярно (более 5 раз)","Более года","Межшкольные / районные","9–10 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Слабый аргумент — один пример не доказывает общую закономерность","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Требует проверки — нужно больше данных о воде","Составлю список возможных причин и проверю каждую","5","5","5"
"2026/04/30 10:22:34 AM GMT+5","Да, несколько раз (1–5 раз)","6–12 месяцев","Межшкольные / районные","9–10 класс","""Наш учитель физкультуры так говорил""","","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","3","4","5"
"2026/04/30 10:23:16 AM GMT+5","Да, регулярно (более 5 раз)","Более года","Республиканский уровень","11 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Невозможно оценить без дополнительной информации","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","5","5","5"
"2026/04/30 10:24:00 AM GMT+5","Да, регулярно (более 5 раз)","6–12 месяцев","Межшкольные / районные","9–10 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Невозможно оценить без дополнительной информации","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","5","5","5"
"2026/04/30 10:24:36 AM GMT+5","Никогда не участвовал","Не участвую в дебатах","Не участвую","9–10 класс","""Все спортсмены хорошо учатся, я сам видел""","Сильный аргумент — личный пример всегда убедителен","Видео на YouTube с миллионом просмотров","Утверждение верно, если большинство — это более 50%","Зависит от того, кто провёл исследование","Найду любой контраргумент, чтобы не уступать","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Скажу директору своё мнение","3","4","3"
"2026/04/30 10:25:09 AM GMT+5","Никогда не участвовал","Не участвую в дебатах","Не участвую","7–8 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Слабый аргумент — один пример не доказывает общую закономерность","Совет от знакомого врача","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Буду стоять на своём — менять позицию значит проигрывать","Найти школы, где форма уже есть","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","5","4","3"
"2026/04/30 10:34:24 AM GMT+5","Да, несколько раз (1–5 раз)","Менее 6 месяцев","Школьные дебаты","7–8 класс","""Мне кажется, это очевидно""","Сильный аргумент — личный пример всегда убедителен","Статья в рецензируемом научном журнале","Нужно больше примеров успешных людей","Зависит от того, кто провёл исследование","Признаю, что аргументы сильные, и пересмотрю свою точку зрения","Найти школы, где форма уже есть","Требует проверки — нужно больше данных о воде","Составлю список возможных причин и проверю каждую","3","4","4"
"2026/04/30 2:08:27 PM GMT+5","Да, регулярно (более 5 раз)","Более года","Межшкольные / районные","7–8 класс","""Исследования показывают, что 30 минут активности улучшают концентрацию на 20%""","Сильный аргумент — личный пример всегда убедителен","Статья в рецензируемом научном журнале","Успешные люди могут вставать рано по другим причинам, а не потому что это ведёт к успеху","Интересно, нужно изучить подробнее и пересмотреть свою позицию","Буду стоять на своём — менять позицию значит проигрывать","Определить, какую проблему должна решить форма","Ошибочный — совпадение по времени не означает причинно-следственную связь","Составлю список возможных причин и проверю каждую","4","3","4"
